Smiles,PDBID,LigID
CC(C)Nc1cccnc1N2CCN(CC2)C(=O)c3cc4cc(ccc4[nH]3)NS(=O)(=O)C,1KLM,SPP
c1cc2c(cc1Cl)[C@@](OC(=O)N2)(C#CC3CC3)C(F)(F)F,1FK9,EFZ
Cc1ccc(c(c1)N[C@@H](c2c(cccc2Cl)Cl)C(=O)N)C(=O)C,1VRU,AAP
Cc1c(cco1)C(=S)Nc2ccc(c(c2)\C=N\OC(C)(C)C)Cl,1RT5,UC2
CCN1c2cc(ccc2N(C(=O)c3c1nccc3)C)[N+](=O)[O-],1RT3,U05
CCOCN1C(=C(C(=O)NC1=O)C(C)C)Cc2ccccc2,1RT1,MKC
CCOc1ccnc(c1F)CCNC(=S)Nc2ccc(cn2)Cl,1DTT,FTC
C[C@H]1CN2c3c(cc(cc3NC2=S)Cl)CN1CC=C(C)C,1TVR,TB9
CC(C)c1c(n(c(n1)COC(=O)N)Cc2ccncc2)Sc3cc(cc(c3)Cl)Cl,1EP4,S11
CC(C)OC(=O)N1c2cc(ccc2NC(=S)[C@@H]1CSC)OC,1BQM,HBY
